model,learning_rate,epochs,batch_size,max_length,accuracy,precision,recall,f1
bert-base-uncased,3e-05,2,8,256,0.7287139538062047,0.7290612469468438,0.7287139538062047,0.7253386196622053
bert-base-uncased,3e-05,3,8,128,0.7205138718053847,0.7179472417391122,0.7205138718053847,0.7171680763414701
bert-base-uncased,2e-05,3,8,128,0.7183271832718328,0.7164265434565489,0.7183271832718328,0.7153629423280059
bert-base-uncased,2e-05,2,8,256,0.7187371873718738,0.707584444526337,0.7187371873718738,0.7104392998894606
